State,Year,Quarter,Brand,Transaction_count,Percentage
Andhra Pradesh,2019,1,OnePlus,237269,0.028645231889483
Andhra Pradesh,2019,1,Huawei,220082,0.02657026381323
Andhra Pradesh,2019,1,Lenovo,171471,0.020701509920477
Andhra Pradesh,2019,1,Others,659126,0.079575575040936
Andhra Pradesh,2019,2,Xiaomi,2389374,0.25448644547243104
Andhra Pradesh,2019,2,Samsung,1914378,0.203895770402885
Andhra Pradesh,2019,2,Vivo,1466695,0.156214136900371
Andhra Pradesh,2019,2,Oppo,963352,0.102604291424765
Andhra Pradesh,2019,2,Realme,641519,0.06832663702418601
Andhra Pradesh,2019,2,Motorola,324778,0.034591319227398006
Andhra Pradesh,2019,2,Apple,264860,0.028209597973288
Andhra Pradesh,2019,2,OnePlus,254273,0.027082002210458003
Andhra Pradesh,2019,2,Huawei,250859,0.026718385328026003
Andhra Pradesh,2019,2,Lenovo,189151,0.020146015503456002
Andhra Pradesh,2019,2,Others,729764,0.07772539853273
Andhra Pradesh,2019,3,Xiaomi,2656468,0.25399617332682
Andhra Pradesh,2019,3,Samsung,2123659,0.203052044839637
Andhra Pradesh,2019,3,Vivo,1674109,0.16006866249922402
Andhra Pradesh,2019,3,Oppo,1087660,0.103995786089141
Andhra Pradesh,2019,3,Realme,727964,0.069603725819277
Andhra Pradesh,2019,3,Motorola,348910,0.033360765059266
Andhra Pradesh,2019,3,Apple,286412,0.027385066183700003
Andhra Pradesh,2019,3,Huawei,282587,0.027019341709332
Andhra Pradesh,2019,3,OnePlus,271100,0.025921020915328
Andhra Pradesh,2019,3,Lenovo,194180,0.018566373446471003
Andhra Pradesh,2019,3,Others,805644,0.07703104011179901
Andhra Pradesh,2019,4,Xiaomi,2985953,0.25395328393725203
Andhra Pradesh,2019,4,Samsung,2379139,0.20234416348589201
Andhra Pradesh,2019,4,Vivo,1922141,0.16347679254845401
Andhra Pradesh,2019,4,Oppo,1241235,0.10556619758846
Andhra Pradesh,2019,4,Realme,844668,0.07183844234544601
Andhra Pradesh,2019,4,Motorola,381692,0.032462646549553005
Andhra Pradesh,2019,4,Huawei,317290,0.026985299989802
Andhra Pradesh,2019,4,Apple,308354,0.026225299231162003
Andhra Pradesh,2019,4,OnePlus,286412,0.024359146965486002
Andhra Pradesh,2019,4,Lenovo,208785,0.017757023096759
Andhra Pradesh,2019,4,Others,882214,0.075031704261728
Andhra Pradesh,2020,1,Xiaomi,3307542,0.25399529721104
Andhra Pradesh,2020,1,Samsung,2622762,0.20140914724705603
Andhra Pradesh,2020,1,Vivo,2165012,0.16625725883615902
Andhra Pradesh,2020,1,Oppo,1387060,0.106516173324343
Andhra Pradesh,2020,1,Realme,960418,0.07375315426284301
Andhra Pradesh,2020,1,Motorola,411062,0.031566587774898
Andhra Pradesh,2020,1,Huawei,348324,0.026748763252511003
Andhra Pradesh,2020,1,Apple,329329,0.025290084671703003
Andhra Pradesh,2020,1,OnePlus,298911,0.022954202330506
Andhra Pradesh,2020,1,Lenovo,227154,0.01744378385601
Andhra Pradesh,2020,1,Others,964486,0.07406554723292601
Andhra Pradesh,2020,2,Xiaomi,3635594,0.253888024693297
Andhra Pradesh,2020,2,Samsung,2888149,0.201690960164947
Andhra Pradesh,2020,2,Vivo,2409399,0.16825793881495202
Andhra Pradesh,2020,2,Oppo,1535129,0.107204178865791
Andhra Pradesh,2020,2,Realme,1072165,0.07487355683700901
Andhra Pradesh,2020,2,Motorola,445380,0.031102661198665
Andhra Pradesh,2020,2,Huawei,379220,0.026482444608554003
Andhra Pradesh,2020,2,Apple,348938,0.024367731809555003
Andhra Pradesh,2020,2,OnePlus,309208,0.021593227499925
Andhra Pradesh,2020,2,Lenovo,243288,0.016989771066731
Andhra Pradesh,2020,2,Others,1053205,0.073549504440568
Andhra Pradesh,2020,3,Xiaomi,3978789,0.25354870716120304
Andhra Pradesh,2020,3,Samsung,3154020,0.20099022425179502
Andhra Pradesh,2020,3,Vivo,2687996,0.17129280056180002
Andhra Pradesh,2020,3,Oppo,1695723,0.10806010933314501
Andhra Pradesh,2020,3,Realme,1207622,0.07695582671999601
Andhra Pradesh,2020,3,Motorola,477313,0.030416816287879
Andhra Pradesh,2020,3,Huawei,408520,0.026032975824929003
Andhra Pradesh,2020,3,Apple,370327,0.023599123270142002
Andhra Pradesh,2020,3,OnePlus,322028,0.020521264904901002
Andhra Pradesh,2020,3,Lenovo,260912,0.016626641996558
Andhra Pradesh,2020,3,Others,1129155,0.07195550968764801
Andhra Pradesh,2020,4,Xiaomi,4325662,0.253309843050988
Andhra Pradesh,2020,4,Samsung,3419866,0.200266622707786
Andhra Pradesh,2020,4,Vivo,2950572,0.17278486627726303
Andhra Pradesh,2020,4,Oppo,1856052,0.10869000879275101
Andhra Pradesh,2020,4,Realme,1361491,0.079728622237551
Andhra Pradesh,2020,4,Motorola,506158,0.029640504398864002
Andhra Pradesh,2020,4,Huawei,437125,0.025597946659647004
Andhra Pradesh,2020,4,Apple,394191,0.023083740787447002
Andhra Pradesh,2020,4,OnePlus,336518,0.019706422222502
Andhra Pradesh,2020,4,Lenovo,276671,0.016201794681775
Andhra Pradesh,2020,4,Others,1212259,0.070989628183419
Andhra Pradesh,2021,1,Xiaomi,4644641,0.252924664064762
Andhra Pradesh,2021,1,Samsung,3635596,0.19797695817075903
Andhra Pradesh,2021,1,Vivo,3245151,0.17671521362241502
Andhra Pradesh,2021,1,Oppo,2010506,0.10948242386229401
Andhra Pradesh,2021,1,Realme,1531645,0.083405971977484
Andhra Pradesh,2021,1,Motorola,518115,0.028214034695451
Andhra Pradesh,2021,1,Huawei,455604,0.024809988252388
Andhra Pradesh,2021,1,Apple,421002,0.022925730841327003
Andhra Pradesh,2021,1,OnePlus,355922,0.019381789094842002
Andhra Pradesh,2021,1,Lenovo,277980,0.015137445093543
Andhra Pradesh,2021,1,Others,1267571,0.06902578032473
Andhra Pradesh,2021,2,Xiaomi,4937684,0.251654243267576
Andhra Pradesh,2021,2,Samsung,3798250,0.193581794519671
Andhra Pradesh,2021,2,Vivo,3572140,0.18205786124544202
Andhra Pradesh,2021,2,Oppo,2173037,0.110751109594588
Andhra Pradesh,2021,2,Realme,1817804,0.092646287212541
Andhra Pradesh,2021,2,Motorola,503072,0.025639592057552
Andhra Pradesh,2021,2,Apple,450689,0.022969837527881003
Andhra Pradesh,2021,2,Huawei,440324,0.022441574432983002
Andhra Pradesh,2021,2,OnePlus,394851,0.020123995299910002
Andhra Pradesh,2021,2,Lenovo,261201,0.013312382889576
Andhra Pradesh,2021,2,Others,1271853,0.06482132195227401
Andhra Pradesh,2021,3,Xiaomi,5256707,0.24960742924775803
Andhra Pradesh,2021,3,Vivo,3981492,0.18905561650868302
Andhra Pradesh,2021,3,Samsung,3911188,0.1857173287354
Andhra Pradesh,2021,3,Oppo,2382363,0.113123197462779
Andhra Pradesh,2021,3,Realme,2134616,0.10135927533932
Andhra Pradesh,2021,3,Motorola,486971,0.023123141432118
Andhra Pradesh,2021,3,Apple,480993,0.022839284406790002
Andhra Pradesh,2021,3,OnePlus,459011,0.021795499674309
Andhra Pradesh,2021,3,Huawei,435214,0.020665532188237003
Andhra Pradesh,2021,3,Lenovo,245241,0.011644928194808
Andhra Pradesh,2021,3,Others,1286102,0.061068766809791
Andhra Pradesh,2021,4,Xiaomi,5518238,0.24537466690980703
Andhra Pradesh,2021,4,Vivo,4381023,0.194807121285672
Andhra Pradesh,2021,4,Samsung,4017419,0.178639059961192
Andhra Pradesh,2021,4,Oppo,2580845,0.11476017928564101
Andhra Pradesh,2021,4,Realme,2528884,0.11244967490592801
Andhra Pradesh,2021,4,Apple,544986,0.024233416213745
Andhra Pradesh,2021,4,OnePlus,525373,0.023361302082006003
Andhra Pradesh,2021,4,Motorola,474422,0.021095708489681002
Andhra Pradesh,2021,4,Huawei,409934,0.018228176947968
Andhra Pradesh,2021,4,Lenovo,224391,0.009977798507885001
Andhra Pradesh,2021,4,Others,1283514,0.057072895410468005
Andhra Pradesh,2022,1,Xiaomi,5743382,0.24073240824411102
Andhra Pradesh,2022,1,Vivo,4772765,0.200049241445755
Andhra Pradesh,2022,1,Samsung,4124296,0.172868826832614
Andhra Pradesh,2022,1,Realme,2864092,0.120047693953265
Andhra Pradesh,2022,1,Oppo,2780974,0.11656382394280201
Andhra Pradesh,2022,1,Apple,594003,0.024897485957616
Andhra Pradesh,2022,1,OnePlus,580737,0.024341444912851003
Andhra Pradesh,2022,1,Motorola,463652,0.019433856662711
Andhra Pradesh,2022,1,Huawei,401477,0.016827807216135002
Andhra Pradesh,2022,1,Lenovo,222586,0.00932963606137
Andhra Pradesh,2022,1,Others,1309987,0.054907774770767005
Arunachal Pradesh,2018,1,Xiaomi,5212,0.242474994184694
Arunachal Pradesh,2018,1,Samsung,4354,0.20255873458943902
Arunachal Pradesh,2018,1,Vivo,3523,0.163898581065364
Arunachal Pradesh,2018,1,Oppo,2608,0.12133054198650801
Arunachal Pradesh,2018,1,Realme,1297,0.060339613863689
Arunachal Pradesh,2018,1,Apple,628,0.029216096766689
Arunachal Pradesh,2018,1,Gionee,563,0.026192137706443002
Arunachal Pradesh,2018,1,Lenovo,420,0.0195394277739
Arunachal Pradesh,2018,1,OnePlus,403,0.018748546173528002
